,name,country,career_starting_at,career_ending_at,career_length,censor
666,RB McCosker,Aus,1975,1982,8,1
667,DR Brown,Eng,1997,2007,11,1
668,HP Rinke,Zim,2006,2006,1,1
669,Faisal Iqbal,Pak,2000,2006,7,1
670,NAM McLean,WI,1996,2003,8,1
671,Mohammad Sami,Pak,2001,2015,15,0
672,B Wood,Eng,1972,1982,11,1
673,RC Fredericks,WI,1973,1977,5,1
674,BR Hartland,NZ,1992,1994,3,1
675,N Chopra,India,1998,2000,3,1
676,BC Hollioake,Eng,1997,2002,6,1
677,Nafees Iqbal,Ban,2003,2005,3,1
678,DM Benkenstein,SA,1998,2002,5,1
679,LE Bosman,SA,2006,2010,5,1
680,CMW Read,Eng,2000,2006,7,1
681,WKM Benjamin,WI,1986,1995,10,1
682,GS Ballance,Eng,2013,2015,3,0
683,PA Nixon,Eng,2007,2007,1,1
684,Zahoor Elahi,Pak,1996,1997,2,1
685,DN Crookes,SA,1994,2000,7,1
686,AJ Pycroft,Zim,1983,1992,10,1
687,DR Tuffey,NZ,2000,2010,11,1
688,DL Murray,WI,1973,1980,8,1
689,AU Rashid,Eng,2009,2016,8,0
690,MJ Santner,NZ,2015,2016,2,0
691,SE Bond,NZ,2002,2010,9,1
692,P Kumar,India,2007,2012,6,0
