,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
892,Mohammad Amir (Pak),2009-2016,17,14,4,168,73*,16.80,222,75.67,0,1,4
893,AR Whittall (Zim),1996-2000,63,35,13,168,29,7.63,310,54.19,0,0,6
894,RS Gabriel (WI),1984-1984,11,11,0,167,41,15.18,360,46.38,0,0,2
895,JE Morris (Eng),1990-1991,8,8,1,167,63*,23.85,225,74.22,0,1,0
896,Haroon Rasheed (Pak),1977-1982,12,10,2,166,63*,20.75,316,52.53,0,1,0
897,A McGrath (Eng),2003-2004,14,12,2,166,52,16.60,353,47.02,0,1,1
898,DES Maxwell (Can),2006-2007,10,10,4,166,59,27.66,238,69.74,0,1,1
899,Khurram Chohan (Can),2009-2014,25,19,6,165,35*,12.69,285,57.89,0,0,2
900,JF Kloppenburg (Neth),2002-2003,6,6,0,165,121,27.50,265,62.26,1,0,1
901,MJ Lumb (Eng),2014-2014,3,3,0,165,106,55.00,203,81.28,1,0,0
902,GAHM Parkar (India),1982-1984,10,10,1,165,42,18.33,332,49.69,0,0,0
903,RB Kanhai (WI),1973-1975,7,5,2,164,55,54.66,273,60.07,0,2,0
904,RR Powar (India),2004-2007,31,19,5,163,54,11.64,260,62.69,0,1,0
905,MA Starc (Aus),2010-2015,46,19,11,163,52*,20.37,193,84.45,0,1,2
906,JC Tredwell (Eng),2010-2015,45,25,11,163,30,11.64,242,67.35,0,0,3
907,MV Nagamootoo (WI),2000-2002,24,18,6,162,33,13.50,270,60.00,0,0,1
908,JTC Vaughan (NZ),1992-1996,18,16,7,162,33,18.00,261,62.06,0,0,0
909,CD Cumming (NZ),2003-2009,13,13,1,161,45*,13.41,301,53.48,0,0,3
910,SKL de Silva (SL),1997-1997,11,6,3,161,57,53.66,193,83.41,0,2,0
911,SC Joseph (WI),2000-2005,13,11,1,161,58,16.10,302,53.31,0,1,2
912,E Schiferli (Neth),2002-2013,30,22,6,161,41,10.06,218,73.85,0,0,4
913,HMCM Bandara (SL),2006-2010,31,17,4,160,31,12.30,224,71.42,0,0,3
914,PE Cantrell (Neth),1996-1996,5,5,0,160,47,32.00,307,52.11,0,0,0
915,JL Langer (Aus),1994-1997,8,7,2,160,36,32.00,180,88.88,0,0,0
916,K Weeraratne (SL),2000-2008,15,9,1,160,41,20.00,177,90.39,0,0,0
917,Saleem Raza (UAE),1994-1996,6,6,0,159,84,26.50,173,91.90,0,1,0
918,AC Bedade (India),1994-1994,13,10,3,158,51,22.57,183,86.33,0,1,0
919,JJ Martin (India),1999-2001,10,8,1,158,39,22.57,331,47.73,0,0,1
920,MP Maynard (Eng),1994-2000,14,12,1,156,41,14.18,225,69.33,0,0,1
921,IJ Gould (Eng),1983-1983,18,14,2,155,42,12.91,243,63.78,0,0,2
922,GJ Cosier (Aus),1975-1979,9,7,2,154,84,30.80,166,92.77,0,1,1
923,AM Ellis (NZ),2012-2013,15,12,1,154,33,14.00,184,83.69,0,0,1
924,CJ Jordan (Eng),2013-2016,27,20,6,154,38*,11.00,170,90.58,0,0,3
925,Mohammad Hussain (Pak),1997-1998,14,12,7,154,31*,30.80,136,113.23,0,0,0
926,CJ Richards (Eng),1981-1988,22,16,3,154,50,11.84,264,58.33,0,1,3
927,RML Taylor (Scot),2013-2016,15,14,3,154,46*,14.00,172,89.53,0,0,1
928,CPS Chauhan (India),1978-1981,7,7,0,153,46,21.85,301,50.83,0,0,0
929,AN Ranasinghe (SL),1975-1982,9,8,1,153,51,21.85,147,104.08,0,1,2
930,DW Fleming (Aus),1994-2001,88,31,18,152,29,11.69,221,68.77,0,0,5
931,AJ Redmond (NZ),2009-2010,6,6,0,152,52,25.33,259,58.68,0,1,0
932,MW Alleyne (Eng),1999-2000,10,8,1,151,53,21.57,255,59.21,0,1,0
933,MS Chapman (HK),2015-2015,2,2,1,151,124*,151.00,151,100.00,1,0,0
934,RS Gavaskar (India),2004-2004,11,10,2,151,54,18.87,234,64.52,0,1,0
935,BF Hastings (NZ),1973-1975,11,9,1,151,37,18.87,271,55.71,0,0,1
936,VD Philander (SA),2007-2015,30,19,7,151,30*,12.58,213,70.89,0,0,3
937,RG Aga (Kenya),2004-2014,12,9,0,150,86,16.66,209,71.77,0,1,1
938,NA Foster (Eng),1984-1989,48,25,12,150,24,11.53,244,61.47,0,0,3
939,GD Barlow (Eng),1976-1977,6,6,1,149,80*,29.80,255,58.43,0,1,2
940,AR Khurasiya (India),1999-2001,12,11,0,149,57,13.54,188,79.25,0,1,1
941,Khalid Latif (Pak),2008-2010,5,5,0,147,64,29.40,228,64.47,0,1,1
942,Nazimuddin (Ban),2008-2012,11,11,0,147,47,13.36,237,62.02,0,0,0
943,GM Strydom (Zim),2006-2006,12,10,0,147,58,14.70,225,65.33,0,1,2
944,D Williams (WI),1988-1997,36,23,7,147,32*,9.18,242,60.74,0,0,4
945,JA Burns (Aus),2015-2015,6,6,0,146,69,24.33,184,79.34,0,1,1
946,SE Findlay (WI),2008-2009,9,8,1,146,59*,20.85,194,75.25,0,1,0
947,Hashmatullah Shahidi (Afg),2013-2016,9,9,2,146,38*,20.85,272,53.67,0,0,1
948,KM Jadhav (India),2014-2015,4,4,1,146,105*,48.66,137,106.56,1,0,0
949,R Clarke (Eng),2003-2006,20,13,0,144,39,11.07,232,62.06,0,0,2
950,DK Liyanage (SL),1992-2001,16,11,2,144,43,16.00,207,69.56,0,0,0
951,Nasir Jamal (Afg),2014-2015,5,5,1,144,52*,36.00,235,61.27,0,1,0
952,LN Onyango (Kenya),1996-2014,29,18,7,144,34*,13.09,188,76.59,0,0,2
953,Abdur Rehman (Pak),2006-2014,31,23,6,142,31,8.35,263,53.99,0,0,4
954,CM Kuggeleijn (NZ),1988-1989,16,11,2,142,40,15.77,223,63.67,0,0,1
955,D Langford-Smith (Ire),2006-2008,22,17,8,142,31*,15.77,133,106.76,0,0,2
956,MB Loye (Eng),2007-2007,7,7,0,142,45,20.28,184,77.17,0,0,1
957,DE Bernard (WI),2003-2010,20,12,2,141,38,14.10,219,64.38,0,0,1
958,ARC Fraser (Eng),1989-1999,42,20,9,141,38*,12.81,208,67.78,0,0,1
959,OD Gibson (WI),1995-1997,15,11,1,141,52,14.10,138,102.17,0,1,1
960,CR Matthews (SA),1991-1997,56,22,9,141,26,10.84,202,69.80,0,0,3
961,Mohammad Shahzad (UAE),2014-2014,4,4,0,141,79,35.25,160,88.12,0,2,2
962,A Nehra (Asia/India),2001-2011,120,46,21,141,24,5.64,246,57.31,0,0,9
963,Shahid Saeed (Pak),1989-1993,10,10,0,141,50,14.10,316,44.62,0,1,0
964,VJ Wells (Eng),1999-1999,9,7,0,141,39,20.14,253,55.73,0,0,0
965,AF Buurman (Neth),2007-2011,17,11,2,140,34,15.55,179,78.21,0,0,2
966,HMRKB Herath (SL),2004-2015,71,30,15,140,17*,9.33,217,64.51,0,0,3
967,T Maruma (Zim),2007-2014,16,15,0,140,32,9.33,277,50.54,0,0,1
968,L Siaka (PNG),2014-2014,2,2,0,140,109,70.00,158,88.60,1,0,0
969,JM Wiener (Aus),1979-1980,7,7,0,140,50,20.00,324,43.20,0,1,0
970,MV Fleming (Eng),1997-1998,11,10,1,139,33,15.44,137,101.45,0,0,1
971,KH MacLeay (Aus),1983-1987,16,13,2,139,41,12.63,170,81.76,0,0,0
972,SJ Benn (WI),2008-2015,34,22,6,138,31,8.62,184,75.00,0,0,3
973,EAR de Silva (SL),1986-1992,28,20,6,138,19*,9.85,241,57.26,0,0,2
974,GN Edwards (NZ),1976-1981,6,6,0,138,41,23.00,191,72.25,0,0,1
975,RJ Bailey (Eng),1985-1990,4,4,2,137,43*,68.50,196,69.89,0,0,0
976,RM Hogg (Aus),1979-1985,71,35,20,137,22,9.13,217,63.13,0,0,2
977,APB Tennekoon (SL),1975-1979,4,4,0,137,59,34.25,207,66.18,0,1,1
978,G Miller (Eng),1977-1984,25,18,2,136,46,8.50,265,51.32,0,0,3
979,LG Rowe (WI),1975-1980,11,8,0,136,60,17.00,244,55.73,0,1,0
980,R Vijay Bharadwaj (India),1999-2002,10,9,4,136,41*,27.20,194,70.10,0,0,1
981,SRD Wettimuny (SL),1975-1979,3,3,1,136,67,68.00,242,56.19,0,2,0
982,PA Browne (WI),2008-2008,5,5,1,134,49*,33.50,179,74.86,0,0,0
983,Arshad Khan (Pak),1993-2006,58,29,18,133,20,12.09,217,61.29,0,0,5
984,MD Bell (NZ),1998-2001,7,7,0,133,66,19.00,268,49.62,0,1,0
985,RJ Sidebottom (Eng),2001-2010,25,18,8,133,24,13.30,194,68.55,0,0,2
986,RK Chauhan (India),1993-1997,35,18,5,132,32,10.15,171,77.19,0,0,4
987,D Keulder (Nam),2003-2003,6,6,0,132,52,22.00,220,60.00,0,1,1
988,Bazid Khan (Pak),2004-2008,5,5,0,131,66,26.20,232,56.46,0,2,1
989,ST Finn (Eng),2011-2015,65,28,12,131,35,8.18,216,60.64,0,0,7
990,MSK Prasad (India),1998-1999,17,11,2,131,63,14.55,225,58.22,0,1,2
991,AF Milne (NZ),2012-2016,33,12,6,130,36,21.66,132,98.48,0,0,1
992,Sajid Ali (Pak),1984-1997,13,12,0,130,28,10.83,293,44.36,0,0,0
993,RW Taylor (Eng),1973-1984,27,17,7,130,26*,13.00,312,41.66,0,0,2
994,RJ Trott (Ber),2007-2009,11,10,4,130,48*,21.66,249,52.20,0,0,1
995,TJ Zoehrer (Aus),1986-1994,22,15,3,130,50,10.83,183,71.03,0,1,2
996,KTGD Prasad (SL),2006-2015,24,12,6,129,31*,21.50,146,88.35,0,0,1
997,FC Hayes (Eng),1973-1975,6,6,1,128,52,25.60,235,54.46,0,1,0
998,DT Hondo (Zim),2001-2005,56,29,12,127,17,7.47,249,51.00,0,0,4
999,TE Jesty (Eng),1983-1983,10,10,4,127,52*,21.16,182,69.78,0,1,2
1000,A Nel (SA),2001-2008,79,22,12,127,30*,12.70,166,76.50,0,0,2
1001,Dhiman Ghosh (Ban),2008-2008,14,12,3,126,30,14.00,201,62.68,0,0,3
1002,M Kartik (India),2002-2007,37,14,5,126,32*,14.00,178,70.78,0,0,1
1003,TRO Payne (WI),1984-1987,7,4,0,126,60,31.50,240,52.50,0,1,0
1004,CP Senanayake (SL),1990-1991,7,7,0,126,27,18.00,211,59.71,0,0,1
1005,PA Jaques (Aus),2006-2007,6,6,0,125,94,20.83,176,71.02,0,1,1
1006,Mohammad Naveed (UAE),2014-2015,12,9,3,125,23*,20.83,108,115.74,0,0,0
1007,AIC Dodemaide (Aus),1988-1993,24,16,7,124,30,13.77,159,77.98,0,0,1
1008,Liton Das (Ban),2015-2015,9,9,1,124,36,15.50,168,73.80,0,0,2
1009,A Maregwede (Zim),2003-2005,11,11,1,124,37,12.40,218,56.88,0,0,1
1010,JA Samarasekera (UAE),1994-1996,7,6,2,124,47*,31.00,215,57.67,0,0,0
1011,Shafiul Islam (Ban),2010-2014,52,28,9,124,24*,6.52,213,58.21,0,0,8
1012,M van Jaarsveld (SA),2002-2004,11,7,1,124,45,20.66,169,73.37,0,0,1
1013,LR Williams (WI),1996-2001,15,13,2,124,41,11.27,186,66.66,0,0,2
1014,Ziaur Rahman (Ban),2013-2014,13,11,0,124,41,11.27,110,112.72,0,0,3
1015,GA Paterson (Zim),1983-1987,10,10,0,123,27,12.30,327,37.61,0,0,1
1016,J Arun Lal (India),1982-1989,13,13,0,122,51,9.38,232,52.58,0,1,4
1017,RL Bhudia (Kenya),2008-2009,5,5,0,122,47,24.40,124,98.38,0,0,0
1018,CRM Douglas (Ber),2008-2008,2,2,0,122,69,61.00,218,55.96,0,2,0
1019,BA Parchment (WI),2007-2008,7,7,0,122,48,17.42,217,56.22,0,0,0
1020,SK Gupta (Kenya),1996-2001,10,10,1,121,41,13.44,220,55.00,0,0,3
1021,GJAF Aponso (Neth),1996-1996,5,4,0,120,58,30.00,247,48.58,0,1,0
1022,L Balaji (India),2002-2009,30,16,6,120,21*,12.00,152,78.94,0,0,2
1023,Krishna Chandran (UAE),2014-2015,11,9,2,119,43,17.00,247,48.17,0,0,3
1024,VV Morea (PNG),2014-2014,2,2,1,119,65*,119.00,144,82.63,0,2,0
1025,Shahid Mahboob (Pak),1982-1984,10,6,1,119,77,23.80,194,61.34,0,1,1
1026,MC Sorensen (Ire),2013-2015,12,7,2,119,31,23.80,149,79.86,0,0,0
1027,EJ Chatfield (NZ),1979-1989,114,48,37,118,19*,10.72,346,34.10,0,0,6
1028,DBL Powell (WI),2002-2009,55,25,3,118,48*,5.36,164,71.95,0,0,8
1029,JN Snape (Eng),2001-2002,10,7,3,118,38,29.50,173,68.20,0,0,0
1030,V Yadav (India),1992-1994,19,12,2,118,34*,11.80,116,101.72,0,0,2
1031,DH Brain (Zim),1992-1995,23,18,4,117,27,8.35,171,68.42,0,0,2
1032,MD Gunathilaka (SL),2015-2016,6,5,0,117,65,23.40,135,86.66,0,1,0
1033,NB Mahwire (Zim),2004-2006,23,19,8,117,22*,10.63,249,46.98,0,0,2
1034,FL Reifer (WI),1997-2009,8,8,0,117,40,14.62,229,51.09,0,0,0
1035,Arshad Ayub (India),1987-1990,32,17,7,116,31*,11.60,162,71.60,0,0,1
1036,Azam Khan (Pak),1996-1998,6,5,0,116,72,23.20,177,65.53,0,1,0
1037,PH Edmonds (Eng),1977-1987,29,18,7,116,20,10.54,232,50.00,0,0,3
1038,Hamza Tariq (Can),2011-2014,7,7,0,116,71,16.57,157,73.88,0,1,2
1039,Tauseef Ahmed (Pak),1982-1990,70,25,14,116,27*,10.54,216,53.70,0,0,3
1040,GK Khoda (India),1998-1998,2,2,0,115,89,57.50,185,62.16,0,1,0
1041,GD McGrath (Aus/ICC),1993-2007,250,68,38,115,11,3.83,236,48.72,0,0,14
1042,MA Carberry (Eng),2013-2014,6,6,0,114,63,19.00,180,63.33,0,1,0
1043,GR Dilley (Eng),1979-1988,36,18,8,114,31*,11.40,133,85.71,0,0,2
1044,FM Engineer (India),1974-1975,5,4,1,114,54*,38.00,195,58.46,0,1,0
1045,KD Ghavri (India),1975-1981,19,16,6,114,20,11.40,194,58.76,0,0,1
1046,MO Jones (Ber),2006-2007,12,12,2,113,27,11.30,149,75.83,0,0,1
1047,DL Maddy (Eng),1998-2000,8,6,0,113,53,18.83,206,54.85,0,1,1
1048,Naved Anjum (Pak),1984-1992,13,12,3,113,30,12.55,154,73.37,0,0,1
1049,Aizaz Khan (HK),2014-2016,5,4,1,112,42,37.33,139,80.57,0,0,0
1050,MJ Cosgrove (Aus),2006-2006,3,3,0,112,74,37.33,116,96.55,0,1,0
1051,Haseeb Amjad (HK),2014-2016,7,6,1,112,42,22.40,85,131.76,0,0,1
1052,DP Hyatt (WI),2011-2011,9,9,1,112,39,14.00,188,59.57,0,0,1
1053,CT Mutombodzi (Zim),2013-2015,11,10,1,112,27,12.44,160,70.00,0,0,0
1054,Hasan Jamil (Pak),1977-1978,6,5,0,111,28,22.20,120,92.50,0,0,0
1055,RDM Leverock (Ber),2006-2009,32,19,9,111,20*,11.10,382,29.05,0,0,1
1056,RD Brown (Zim),1983-1987,7,7,0,110,38,15.71,334,32.93,0,0,0
1057,Rashid Khan (Pak),1980-1985,29,15,7,110,17,13.75,173,63.58,0,0,0
1058,MG Burmester (Zim),1992-1995,8,7,1,109,39,18.16,207,52.65,0,0,0
1059,Mohammed Shami (India),2013-2015,47,21,11,109,25,10.90,125,87.20,0,0,4
1060,CL Smith (Eng),1984-1984,4,4,0,109,70,27.25,240,45.41,0,1,0
1061,UT Khawaja (Aus),2013-2016,5,5,1,108,50,27.00,125,86.40,0,1,0
1062,MJ McClenaghan (NZ),2013-2016,48,14,10,108,34*,27.00,138,78.26,0,0,0
1063,SJ Rhodes (Eng),1989-1995,9,8,2,107,56,17.83,150,71.33,0,1,0
1064,G Cook (Eng),1981-1983,6,6,0,106,32,17.66,261,40.61,0,0,0
1065,CR Foggo (Ber),2008-2008,4,4,0,106,60,26.50,174,60.91,0,1,0
1066,KO Meth (Zim),2006-2012,11,8,0,106,53,13.25,183,57.92,0,1,2
1067,Faruk Ahmed (Ban),1988-1999,7,7,0,105,57,15.00,273,38.46,0,1,1
1068,RK Kleinveldt (SA),2013-2013,10,7,0,105,43,15.00,124,84.67,0,0,1
1069,TJ Laughlin (Aus),1978-1979,6,5,1,105,74,26.25,160,65.62,0,1,0
1070,PM Toohey (Aus),1978-1979,5,4,2,105,54*,52.50,133,78.94,0,1,0
1071,CD Collymore (WI),1999-2007,84,35,17,104,13*,5.77,261,39.84,0,0,8
1072,BP Nash (WI),2008-2009,9,7,3,104,39*,26.00,141,73.75,0,0,0
1073,RP Singh (India),2005-2011,58,20,10,104,23,10.40,242,42.97,0,0,3
1074,MW Priest (NZ),1990-1998,18,14,4,103,24,10.30,225,45.77,0,0,2
1075,JW Wilson (NZ),1993-2005,6,6,1,103,44*,20.60,112,91.96,0,0,1
1076,D Wiese (SA),2015-2016,6,6,1,102,41*,20.40,115,88.69,0,0,0
1077,Arshad Laeeq (UAE),1994-1996,6,6,1,101,43*,20.20,215,46.97,0,0,1
1078,XJ Doherty (Aus),2010-2015,60,23,16,101,15*,14.42,184,54.89,0,0,2
1079,ERNS Fernando (SL),1983-1983,7,5,0,101,36,20.20,216,46.75,0,0,2
1080,RO Hinds (WI),2001-2004,14,9,3,101,18*,16.83,170,59.41,0,0,0
1081,WR James (Zim),1992-1996,11,8,1,101,29,14.42,255,39.60,0,0,1
1082,TA Lloyd (Eng),1984-1984,3,3,0,101,49,33.66,228,44.29,0,0,0
1083,Tabarak Dar (HK),2004-2008,4,4,0,101,36,25.25,175,57.71,0,0,0
1084,GB Troup (NZ),1976-1985,22,12,8,101,39,25.25,140,72.14,0,0,0
1085,S Amarnath (India),1978-1978,3,3,0,100,62,33.33,119,84.03,0,1,0
1086,S Elworthy (SA),1998-2002,39,16,8,100,23,12.50,160,62.50,0,0,3
1087,MG Hughes (Aus),1988-1993,33,17,8,100,20,11.11,134,74.62,0,0,3
1088,Shahzaib Hasan (Pak),2010-2010,3,3,0,100,50,33.33,113,88.49,0,1,0
1089,NMK Smith (Eng),1996-1996,7,6,1,100,31,20.00,132,75.75,0,0,0
1090,TL Chatara (Zim),2013-2015,27,18,10,99,23,12.37,166,59.63,0,0,2
1091,LV Garrick (WI),2001-2001,3,3,0,99,76,33.00,204,48.52,0,1,0
1092,AFG Griffith (WI),1996-2000,9,8,1,99,47,14.14,177,55.93,0,0,0
1093,Irfan Ahmed (HK),2008-2014,6,6,0,99,37,16.50,125,79.20,0,0,1
1094,Rahmat Shah (Afg),2013-2014,8,6,0,99,35,16.50,170,58.23,0,0,0
1095,BC Rose (Eng),1977-1977,2,2,0,99,54,49.50,210,47.14,0,1,0
1096,Saad Nasim (Pak),2015-2015,3,3,1,99,77*,49.50,124,79.83,0,1,1
1097,DCC Borden (Ber),2006-2008,12,11,4,98,24,14.00,195,50.25,0,0,2
1098,GJ Crocker (Zim),1992-1993,6,5,1,98,50,24.50,105,93.33,0,1,0
1099,D Elgar (SA),2012-2015,6,5,1,98,42,24.50,160,61.25,0,0,0
1100,EJ Gray (NZ),1984-1988,10,7,1,98,38,16.33,230,42.60,0,0,0
1101,LR Johnson (WI),2008-2015,6,6,0,98,51,16.33,175,56.00,0,1,1
1102,I Maraj (Can),2003-2003,6,6,1,98,53*,19.60,264,37.12,0,1,2
1103,Mohammad Ishaq (UAE),1994-1996,5,5,1,98,51*,24.50,130,75.38,0,1,0
1104,GC Small (Eng),1987-1992,53,24,9,98,18*,6.53,188,52.12,0,0,6
1105,Suhrawadi Shuvo (Ban),2010-2011,17,10,3,98,20*,14.00,135,72.59,0,0,0
1106,GM Ewing (Zim),2004-2005,7,7,0,97,46,13.85,137,70.80,0,0,2
1107,AL Kandappah (Can),2007-2007,2,2,1,97,69*,97.00,156,62.17,0,1,0
1108,RB Kerr (Aus),1985-1985,4,4,1,97,87*,32.33,159,61.00,0,1,0
1109,Manzoor Akhtar (Pak),1997-1998,7,4,0,97,44,24.25,147,65.98,0,0,0
1110,PM Seelaar (Neth),2006-2014,37,21,10,97,34*,8.81,184,52.71,0,0,5
1111,Azhar Hossain (Ban),1988-1990,7,7,0,96,54,13.71,266,36.09,0,1,0
1112,MP Bicknell (Eng),1990-1991,7,6,2,96,31*,24.00,104,92.30,0,0,0
1113,CH Morris (SA),2013-2016,11,6,1,96,62,19.20,94,102.12,0,1,0
1114,D Daesrath (Can),2012-2013,4,3,0,95,40,31.66,137,69.34,0,0,0
1115,AA Donald (SA),1991-2003,164,40,18,95,13,4.31,279,34.05,0,0,12
1116,Mohammad Tauqir (UAE),2004-2015,11,9,2,95,55,13.57,164,57.92,0,1,0
1117,HK Olonga (Zim),1995-2003,50,27,14,95,31,7.30,163,58.28,0,0,6
1118,KL Tucker (Ber),2006-2007,12,12,2,95,34,9.50,246,38.61,0,0,1
1119,VC Drakes (WI),1995-2004,34,17,5,94,25,7.83,174,54.02,0,0,2
1120,GFJ Liebenberg (SA),1995-1998,4,4,0,94,39,23.50,199,47.23,0,0,0
1121,Tanwir Afzal (HK),2014-2016,7,7,1,94,73,15.66,64,146.87,0,1,2
1122,S Abid Ali (India),1974-1975,5,3,0,93,70,31.00,132,70.45,0,1,0
1123,Kabir Ali (Eng),2003-2006,14,9,3,93,39*,15.50,108,86.11,0,0,2
1124,MR Gillespie (NZ),2006-2009,32,14,8,93,28,15.50,118,78.81,0,0,1
1125,V Mehra (UAE),1994-1996,6,6,1,92,43,18.40,202,45.54,0,0,0
1126,BC Strang (Zim),1995-2001,49,26,8,92,18,5.11,220,41.81,0,0,5
1127,SJ Harmison (Eng),2002-2009,58,25,14,91,18*,8.27,141,64.53,0,0,3
1128,JV Harris (Can),2003-2003,6,6,0,91,31,15.16,204,44.60,0,0,0
1129,AR Patel (India),2014-2015,22,15,6,91,17*,10.11,95,95.78,0,0,3
1130,SG Peall (Zim),1992-1996,21,15,1,91,21,6.50,150,60.66,0,0,4
1131,DP Samaraweera (SL),1993-1994,5,4,0,91,49,22.75,169,53.84,0,0,0
1132,SW Billings (Eng),2015-2015,5,4,0,90,41,22.50,68,132.35,0,0,0
1133,RT Lyons (Scot),2006-2010,25,14,10,90,28,22.50,147,61.22,0,0,0
1134,GB Murgatroyd (Nam),2003-2003,6,6,0,90,52,15.00,145,62.06,0,1,2
1135,A Ratra (India),2002-2002,12,8,1,90,30,12.85,127,70.86,0,0,0
1136,Aamer Hanif (Pak),1993-1995,5,4,2,89,36*,44.50,128,69.53,0,0,0
1137,Bilawal Bhatti (Pak),2013-2015,10,7,1,89,39,14.83,75,118.66,0,0,1
1138,Rubel Hossain (Ban),2009-2015,67,34,18,89,17,5.56,161,55.27,0,0,6
1139,JJ van der Wath (SA),2006-2007,10,8,2,89,37*,14.83,70,127.14,0,0,3
1140,VB Chandrasekhar (India),1988-1990,7,7,0,88,53,12.57,162,54.32,0,1,0
1141,JS Patel (NZ),2005-2009,39,13,7,88,34,14.66,150,58.66,0,0,0
1142,Raees Ahmadzai (Afg),2009-2010,5,4,1,88,39,29.33,137,64.23,0,0,0
1143,AJ Traicos (Zim),1983-1993,27,17,9,88,19,11.00,175,50.28,0,0,1
1144,Anil Dalpat (Pak),1984-1986,15,10,3,87,37,12.42,136,63.97,0,0,1
1145,K Jethi (Can),2008-2008,3,3,1,87,46*,43.50,79,110.12,0,0,0
1146,RM Ellison (Eng),1984-1986,14,12,4,86,24,10.75,110,78.18,0,0,0
1147,Hamid Hassan (Afg),2009-2015,30,16,4,86,17,7.16,164,52.43,0,0,3
1148,MJ Henry (NZ),2014-2016,25,9,4,86,48*,17.20,81,106.17,0,0,3
1149,BD Julien (WI),1973-1977,12,8,2,86,26*,14.33,148,58.10,0,0,1
1150,EH Mattis (WI),1981-1981,2,2,0,86,62,43.00,190,45.26,0,1,0
1151,AD Mullally (Eng),1996-2001,50,25,10,86,20,5.73,238,36.13,0,0,6
1152,R Vinay Kumar (India),2010-2013,31,13,4,86,27*,9.55,146,58.90,0,0,2
1153,W Watson (NZ),1986-1994,61,24,13,86,21,7.81,180,47.77,0,0,3
1154,PB Dassanayake (SL),1993-1994,16,10,2,85,20*,10.62,142,59.85,0,0,0
1155,PJC Hoffmann (Scot),2006-2007,18,14,3,85,31,7.72,69,123.18,0,0,3
1156,KAD Hurdle (Ber),2006-2007,19,13,5,85,22,10.62,101,84.15,0,0,2
1157,SI Mahmood (Eng),2004-2009,26,15,4,85,22*,7.72,101,84.15,0,0,3
1158,KJ Barnett (Eng),1988-1988,1,1,0,84,84,84.00,146,57.53,0,1,0
1159,IG Butler (NZ),2002-2010,26,13,5,84,25,10.50,154,54.54,0,0,2
1160,SF Dukanwala (UAE),1996-1996,5,4,2,84,40*,42.00,139,60.43,0,0,0
1161,VB John (SL),1982-1987,45,19,10,84,15,9.33,152,55.26,0,0,3
1162,GI Maiden (Scot),2010-2011,7,6,2,84,31,21.00,133,63.15,0,0,1
1163,Saqib Ali (UAE),2008-2014,5,5,1,84,25*,21.00,129,65.11,0,0,0
1164,Younis Ahmed (Pak),1987-1987,2,2,0,84,58,42.00,151,55.62,0,1,0
1165,OAC Banks (WI),2003-2005,5,5,0,83,33,16.60,149,55.70,0,0,0
1166,GH Bodi (SA),2007-2007,2,2,0,83,51,41.50,132,62.87,0,1,0
1167,AG Davies (Scot),1999-1999,5,5,1,83,32,20.75,154,53.89,0,0,1
1168,LHD Dilhara (SL),2005-2013,9,9,0,83,29,9.22,107,77.57,0,0,1
1169,R Strydom (Ire),2008-2008,9,6,0,83,37,13.83,155,53.54,0,0,0
1170,RGD Willis (Eng),1973-1984,64,22,14,83,24,10.37,157,52.86,0,0,4
1171,RR David (Can),2008-2010,4,3,0,82,48,27.33,170,48.23,0,0,0
1172,Imran Tahir (SA),2011-2016,54,18,10,82,23*,10.25,118,69.49,0,0,1
1173,LJ Koen (SA),1997-2000,5,5,0,82,28,16.40,169,48.52,0,0,1
1174,DB Kotze (Nam),2003-2003,6,6,1,82,27,16.40,135,60.74,0,0,0
1175,Nasir Aziz (UAE),2014-2015,5,3,0,82,60,27.33,125,65.60,0,1,0
1176,RD Robinson (Aus),1977-1977,2,2,0,82,70,41.00,143,57.34,0,1,0
1177,SM Sharif (Scot),2011-2016,13,9,4,82,26,16.40,118,69.49,0,0,0
1178,Mahbubul Alam (Ban),2009-2009,5,2,0,81,59,40.50,71,114.08,0,1,0
1179,TJ Murtagh (Ire),2012-2015,14,8,4,81,23*,20.25,94,86.17,0,0,0
1180,GA Rogers (Scot),2006-2008,13,8,3,81,26,16.20,169,47.92,0,0,1
1181,S Sriram (India),2000-2004,8,7,1,81,57,13.50,135,60.00,0,1,1
1182,Syed Rasel (Ban),2005-2010,52,27,11,81,15,5.06,185,43.78,0,0,5
1183,Jai P Yadav (India),2002-2005,12,7,3,81,69,20.25,123,65.85,0,1,2
1184,PC de Silva (SL),2014-2014,6,6,1,80,44,16.00,98,81.63,0,0,0
1185,G Goudie (Scot),2008-2013,16,11,3,80,23,10.00,99,80.80,0,0,2
1186,TR Gripper (Zim),2001-2003,8,8,0,80,26,10.00,187,42.78,0,0,1
1187,Hammad Azam (Pak),2011-2015,11,7,2,80,36,16.00,131,61.06,0,0,0
1188,Rashid Khan (Afg),2015-2016,7,7,2,80,31,16.00,107,74.76,0,0,0
1189,PWE Rawson (Zim),1983-1987,10,8,3,80,24*,16.00,123,65.04,0,0,1
1190,SK Sharma (India),1988-1990,23,12,4,80,28,10.00,135,59.25,0,0,2
1191,S Badrinath (India),2008-2011,7,6,1,79,27*,15.80,172,45.93,0,0,0
1192,Shahadat Hossain (Ban),2006-2013,51,27,17,79,16*,7.90,151,52.31,0,0,3
